season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2016,ARI,DB,DB,43,,Mike Jenkins,Mike,Jenkins,1985-03-22,70,197,South Florida,00-0026165,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i5rehh6lcwojy98jubrr",,17,REG,,Mike,JEN421854,,32004a45-4e42-1854-a332-1f8b24b65db4,2008,2008,,
2016,ARI,DB,SS,27,,Tyvon Branch,Tyvon,Branch,1986-12-11,72,210,Connecticut,00-0026240,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iqunozxf1itgujqdyolv",,17,REG,,Tyvon,BRA530779,,32004252-4153-0779-8615-69f59ec1aef7,2008,2008,OAK,100
2016,ARI,DB,CB,21,,Patrick Peterson,Patrick,Peterson,1990-07-11,73,203,Louisiana State,00-0027943,13980,9f3b934e-52d6-4e16-ae92-d3e60be10493,24792,7300,6157,PetePa00,13415,972,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hvg7dw1gtbiplbflvssz",CB,17,REG,,Patrick,PET415511,,32005045-5441-5511-6ae6-059d8eb99a8d,2011,2011,,
2016,ARI,DB,CB,28,,Justin Bethel,Justin,Bethel,1990-06-17,72,200,Presbyterian,00-0029530,15089,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3,25887,8306,7654,BethJu00,14469,1216,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fyns5sjntmnbdfbgbqsq",SLOT_CB,17,REG,,Justin,BET201235,,32004245-5420-1235-8b83-7aa6aa147af8,2012,2012,,
2016,ARI,DB,FS,36,,D.J. Swearinger,D.J.,Swearinger,1991-09-01,70,205,South Carolina,00-0030566,15865,5486420b-b40c-4e7c-ab47-9d70b1673c3b,26680,8690,7838,SweaDJ00,14989,1429,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r1lqqiefepwhekefzeyb",OLB,17,REG,,D.J.,SWE023150,,32005357-4502-3150-3be8-2dd57069939a,2013,2013,,
2016,ARI,DB,FS,32,,Tyrann Mathieu,Tyrann,Mathieu,1992-05-13,69,186,Louisiana State,00-0030459,15851,8c8b7d6e-6ed8-4a10-8ae9-b50300bd766b,26692,8593,7850,MathTy00,15226,1576,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbkxx0nityawgcbztuzu",,17,REG,,Tyrann,MAT195206,,32004d41-5419-5206-42a6-e6a01bfff75c,2013,2013,ARI,69
2016,ARI,DB,CB,41,,Marcus Cooper,Marcus,Cooper,1990-02-01,74,192,Rutgers,00-0030127,15888,38709da2-bd62-45f9-a7cd-f209879aca81,26875,9082,8035,CoopMa00,15234,1583,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/od4q4wn2w2tisel3j1uk",CB,17,REG,,Marcus,COO646420,,3200434f-4f64-6420-4810-fe06a6650d76,2013,2013,,
2016,ARI,DB,SS,22,,Tony Jefferson,Tony,Jefferson,1992-01-27,71,212,Oklahoma,00-0030294,16195,7690ab6a-2ae0-4449-abd5-74ec54403f2e,27081,8688,8361,,15516,1686,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/id2riwyadfiwpyqhwb4g",,17,REG,,Tony,JEF423538,,32004a45-4642-3538-6240-81dc1df4c32e,2013,2013,,
2016,ARI,DB,DB,25,,Christian Bryant,Christian,Bryant,1992-03-21,70,198,Ohio State,00-0031397,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hsoru7z0iflnc6mge1jo",,17,REG,,Christian,BRY311774,,32004252-5931-1774-dfa0-f305ab00ce54,2014,2014,,
2016,ARI,DB,DB,20,,Brian Dixon,Brian,Dixon,1990-04-26,72,195,Northwest Missouri State,00-0030802,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t8hqeggzauy2g9scp9ac",,17,REG,,Brian,DIX101461,,32004449-5810-1461-ef5c-08a95ea28c9d,2014,2014,,
2016,ARI,DB,CB,26,,Brandon Williams,Brandon,Williams,1992-09-09,71,200,Texas A&amp;M,00-0032769,2972286,cdb10720-0d41-4cb6-9fb8-c00713754a1e,27103,10901,10726,WillBr07,15561,1696,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yv2dn79knkldpbjizvqe",CB,17,REG,,Brandon,WIL000008,,32005749-4c00-0008-92f3-c750b3b2ae42,2016,2016,,
2016,ARI,DB,CB,34,,Harlan Miller,Harlan,Miller,1994-06-20,72,182,Southeastern Louisiana,00-0032798,2974631,a0b23166-6964-4d52-a7b4-9705b61a7e56,29439,11136,10839,MillHa00,18122,3361,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cqdntdasciynxbaqmdaz",SAFETY,17,REG,,Harlan,MIL281637,,32004d49-4c28-1637-6514-0c2dd03b05c7,,,,
2016,ARI,DB,DB,30,,Elie Bouka,Elie,Bouka,1992-08-15,73,205,Calgary,00-0032485,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h3yuublp7pjixgv5kyya",,17,REG,,Elie,BOU310620,,3200424f-5531-0620-b02c-f5425569d730,2016,2016,,
2016,ARI,DB,DB,41,,Trevon Hartfield,Trevon,Hartfield,1991-11-17,72,195,Southwestern Oklahoma State,00-0032498,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rssqp05wgr6skdlccf6f",,17,REG,,Trevon,HAR711135,,32004841-5271-1135-978f-a3f9caec1a73,,,,
2016,ARI,DL,DE,92,,Frostee Rucker,Frostee,Rucker,1983-09-14,75,280,USC,00-0024306,9677,36648f14-5fe5-40f3-ade1-ef53c8f93bdf,7840,5030,3036,RuckFr99,1214,42,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hqcc0pswncgp31c39ysy",INTERIOR_LINE,17,REG,,Frostee,RUC531571,,32005255-4353-1571-94a3-2cc06cf82a75,2006,2006,,
2016,ARI,DL,DE,93,,Calais Campbell,Calais,Campbell,1986-09-01,80,300,Miami,00-0026190,11284,0333b8f0-3aab-45aa-a684-6d402a309413,8827,5587,4364,CampCa99,3341,125,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w2a7qadfbytmjs1t8lpj",INTERIOR_LINE,17,REG,,Calais,CAM208843,,32004341-4d20-8843-b05a-24f8ec79f300,2008,2008,,
2016,ARI,DL,NT,98,,Corey Peters,Corey,Peters,1988-06-08,75,305,Kentucky,00-0027686,13292,a50e3085-370b-4fd2-b79a-28d3b9c5c1c7,24058,6682,5607,PeteCo00,11437,608,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qamkbpncvwvzi3tg68ju",INTERIOR_LINE,17,REG,,Corey,PET099667,,32005045-5409-9667-87ff-b243fa214ce8,2010,2010,,
2016,ARI,DL,DE,91,,Ed Stinson,Ed,Stinson,1990-02-15,76,287,Alabama,00-0031265,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gazqlcxwkxxrxyd26cya",,17,REG,,Ed,STI638331,,32005354-4963-8331-4230-6b05ad582a12,2014,2014,,
2016,ARI,DL,DE,97,,Josh Mauro,Josh,Mauro,1991-02-17,78,282,Stanford,00-0030883,17017,6399b33c-6d3d-4fc5-b142-1a5deb33ef76,27815,9412,9003,,16153,1920,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l0hwkcjms5ncoppejkn7",EDGE,17,REG,,Josh,MAU640520,,32004d41-5564-0520-dec8-88f7b32eea0a,2014,2014,,
2016,ARI,DL,NT,95,,Rodney Gunter,Rodney,Gunter,1992-01-19,77,305,Delaware State,00-0032131,2507719,e4a401ce-3740-4e6b-8dcf-f2b41a3beeb9,28504,10455,9549,GuntRo00,16877,2421,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xxph3vvs0s0itu2r5pb1",INTERIOR_LINE,17,REG,,Rodney,GUN730129,,32004755-4e73-0129-1af5-f25308a2b733,2015,2015,,
2016,ARI,DL,DT,94,,Xavier Williams,Xavier,Williams,1992-01-18,74,309,Northern Iowa,00-0031713,2508191,8363a880-0f4d-44be-bad7-2815c7c3ea00,28815,10675,9809,,17136,2668,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qxz3ln7lmwubkgqngczh",INTERIOR_LINE,17,REG,,Xavier,WIL577675,,32005749-4c57-7675-c5ee-c6f9c5ab961d,2015,2015,,
2016,ARI,DL,DT,72,,Olsen Pierre,Olsen,Pierre,1991-08-27,77,293,Miami,00-0031914,2579622,0c042513-aba2-461c-ae16-db4bf83833fa,28694,10615,10010,,17529,3000,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a8ike4ix4y4rjm1qnz7f",,17,REG,,Olsen,PIE579519,,32005049-4557-9519-f0f7-bdb248b0e4c2,2015,2015,,
2016,ARI,DL,DT,90,,Robert Nkemdiche,Robert,Nkemdiche,1994-09-19,75,296,Mississippi,00-0032761,3051886,60cc4395-be8e-441f-b6b2-7e74e15f2593,29263,11148,10663,NkemRo00,17941,3180,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qh8ojo0fdjiyerepta0o",,17,REG,,Robert,NKE415291,,32004e4b-4541-5291-4305-2c4a48b9aedf,2016,2016,,
2016,ARI,DL,DT,63,,Givens Price,Givens,Price,1994-10-03,76,310,Nebraska,00-0032503,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/plhce3c4uskttqgazd8o",TE,17,REG,,Givens,PRI192067,,32005052-4919-2067-f168-8664045b1703,2016,2016,,
2016,ARI,LB,OLB,55,,Chandler Jones,Chandler,Jones,1990-02-27,77,265,Syracuse,00-0029585,14927,5197def5-f444-4561-ad28-7aac10dc748e,25731,8140,7027,JoneCh03,13749,1038,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oz2tllylvkxzny75qpgx",EDGE,17,REG,,Chandler,JON157557,,32004a4f-4e15-7557-51cb-cda4be7bedd9,2012,2012,,
2016,ARI,LB,MLB,51,,Kevin Minter,Kevin,Minter,1990-12-03,72,246,Louisiana State,00-0030382,15856,186014e2-3430-4510-867f-a7013daf0bb8,26668,8694,7826,MintKe00,15227,1577,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tk8flpzu3ojodnrr9lmu",MLB,17,REG,,Kevin,MIN670026,,32004d49-4e67-0026-a06b-9e6ea0d9e3c6,2013,2013,,
2016,ARI,LB,ILB,54,,Sio Moore,Sio,Moore,1990-05-02,73,245,Connecticut,00-0030529,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vz0is1d9wujcnlipge6z",MLB,17,REG,,Sio,MOO679741,,32004d4f-4f67-9741-2fc1-f927c0104106,2013,2013,,
2016,ARI,LB,LB,52,,Zaviar Gooden,Zaviar,Gooden,1990-08-31,73,231,Missouri,00-0030502,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n5z1utwj8qfb3uhbrpig",,17,REG,,Zaviar,GOO270260,,3200474f-4f27-0260-c368-28736624e3fc,2013,2013,,
2016,ARI,LB,OLB,57,,Alex Okafor,Alex,Okafor,1991-02-08,76,261,Texas,00-0030503,15976,b200f413-296d-49f3-9ef2-f60e21c2f5fd,26726,8656,7885,OkafAl00,15228,1578,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jcfrmgi1gn389dmklp2n",EDGE,17,REG,,Alex,OKA207645,,32004f4b-4120-7645-9671-780bd0a9e00a,2013,2013,,
2016,ARI,LB,ILB,20,,Deone Bucannon,Deone,Bucannon,1992-08-30,73,208,Washington State,00-0031366,16723,a1902bda-47bc-4436-9165-2d79620e4030,27555,9271,8662,BucaDe00,16642,2240,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ehinvbmtyznlpdgizxmi",,17,REG,,Deone,BUC019775,,32004255-4301-9775-ddd0-ee757e3909cf,2014,2014,ARI,27
2016,ARI,LB,LB,96,,Kareem Martin,Kareem,Martin,1992-02-19,78,272,North Carolina,00-0031050,16764,69c1e87f-7ffc-487d-8724-09f4fba12b59,27612,9410,8719,MartKa00,16647,2244,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wuqvh3a9yqqgimxwrmzn",EDGE,17,REG,,Kareem,MAR665531,,32004d41-5266-5531-2ea5-66e413dcd251,2014,2014,,
2016,ARI,LB,OLB,44,,Markus Golden,Markus,Golden,1991-03-13,75,260,Missouri,00-0032127,2971432,78eb0872-fff0-4fc2-94ee-6a5c518ecaa5,28446,10329,9491,GoldMa00,16819,2363,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cd5otxiqweila6yup2gk",EDGE,17,REG,,Markus,GOL067489,,3200474f-4c06-7489-31ee-cc5aa009aa13,2015,2015,,
2016,ARI,LB,OLB,59,,Alani Fua,Alani,Fua,1992-01-01,77,234,Brigham Young,00-0031702,,,,,,,,,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tlq2f4zrors3crml6j0k",,17,REG,,Alani,FUA016162,,32004655-4101-6162-5b43-45c1bf9b567a,2015,2015,,
2016,ARI,LB,ILB,50,,Gabe Martin,Gabriel,Martin,1992-06-05,74,235,Bowling Green State,00-0031707,2515838,7595ead0-d80a-4dc5-bbd4-b2577d566608,28809,10614,9803,,17311,2843,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l8kryquerwwcsx3kxqzw",,17,REG,,Gabe,MAR601640,,32004d41-5260-1640-49e7-1a6dad39a28b,2015,2015,,
2016,ARI,LB,ILB,58,,Scooby Wright,Scooby,Wright,1994-08-29,72,240,Arizona,00-0032979,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qnapnmngshwmhb3bfaa5",,17,REG,,Scooby,WRI591471,,32005752-4959-1471-a2c1-6e85e1727594,2016,2016,,
2016,ARI,OL,G,69,,Evan Mathis,Evan,Mathis,1981-11-01,77,298,Alabama,00-0023514,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ocloudgctoznzjtb1bkr",,17,REG,,Evan,MAT196757,,32004d41-5419-6757-e9e2-a0aa2242e7e0,2005,2005,CAR,79
2016,ARI,OL,C,53,,A.Q. Shipley,A.Q.,Shipley,1986-05-22,73,307,Penn State,00-0026950,,,,,,,,,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/df2cw9hh00iloruvgd6h",C,17,REG,,A.Q.,SHI382248,,32005348-4938-2248-703e-e7602c2b4d17,2009,2009,,
2016,ARI,OL,G,76,,Mike Iupati,Mike,Iupati,1987-05-12,77,331,Idaho,00-0027869,,,,,,,,,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nb018bou9oa1zstkm4t2",G,17,REG,,Mike,IUP059326,,32004955-5005-9326-dc31-5cce1c6719d2,2010,2010,,
2016,ARI,OL,T,68,,Jared Veldheer,Edwin,Veldheer,1987-06-14,80,321,Hillsdale,00-0027674,,,,,,,,,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7ees8sofhe8gg3isgjt",,17,REG,,Jared,VEL116302,,32005645-4c11-6302-6665-c63598a1ecdf,2010,2010,OAK,69
2016,ARI,OL,C,65,,Taylor Boggs,Taylor,Boggs,1987-02-20,75,302,Humboldt State,00-0028570,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pd5zusyuw3aziqgofjfv",,17,REG,,Taylor,BOG427290,,3200424f-4742-7290-2ebc-e6e35f3eb475,2011,2011,,
