column,type
player_id,object
player_name,object
player_display_name,object
position,object
position_group,object
headshot_url,object
recent_team,object
season,int64
week,int64
season_type,object
completions,int64
attempts,int64
passing_yards,int64
passing_tds,int64
interceptions,int64
sacks,int64
sack_yards,int64
sack_fumbles,int64
sack_fumbles_lost,int64
passing_air_yards,int64
passing_yards_after_catch,int64
passing_first_downs,int64
passing_epa,float64
passing_2pt_conversions,int64
pacr,float64
dakota,float64
carries,int64
rushing_yards,int64
rushing_tds,int64
rushing_fumbles,int64
rushing_fumbles_lost,int64
rushing_first_downs,int64
rushing_epa,float64
rushing_2pt_conversions,int64
receptions,int64
targets,int64
receiving_yards,int64
receiving_tds,int64
receiving_fumbles,int64
receiving_fumbles_lost,int64
receiving_air_yards,int64
receiving_yards_after_catch,int64
receiving_first_downs,int64
receiving_epa,float64
receiving_2pt_conversions,int64
racr,float64
target_share,float64
air_yards_share,float64
wopr,float64
special_teams_tds,int64
fantasy_points,float64
fantasy_points_ppr,float64
