column,type
status,object
display_name,object
first_name,object
last_name,object
esb_id,object
gsis_id,object
suffix,object
birth_date,object
college_name,object
position_group,object
position,object
jersey_number,float64
height,object
weight,float64
team_abbr,object
team_seq,float64
current_team_id,float64
football_name,object
entry_year,float64
rookie_year,float64
draft_club,object
college_conference,object
status_description_abbr,object
status_short_description,object
gsis_it_id,float64
short_name,object
smart_id,object
headshot,object
draft_number,float64
uniform_number,object
draft_round,float64
season,float64
