column,type
season,int64
team,object
position,object
depth_chart_position,object
jersey_number,float64
status,object
full_name,object
first_name,object
last_name,object
birth_date,object
height,float64
weight,int64
college,object
gsis_id,object
espn_id,float64
sportradar_id,object
yahoo_id,float64
rotowire_id,float64
pff_id,float64
pfr_id,object
fantasy_data_id,float64
sleeper_id,float64
years_exp,float64
headshot_url,object
ngs_position,object
week,int64
game_type,object
status_description_abbr,object
football_name,object
esb_id,object
gsis_it_id,float64
smart_id,object
entry_year,float64
rookie_year,float64
draft_club,object
draft_number,float64
